fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg,Rank
Vicente Luque,180.34,170.0,190.5,Orthodox,1991-11-27,23,68%,10,29%,1,3%,0.0,0%,5.05,51%,5.22,52%,0.99,53%,62%,0.7,89
Ian Machado Garry,190.5,170.0,187.96,Orthodox,1997-11-17,15,94%,1,6%,0,0%,0.0,0%,4.72,54%,2.82,51%,0.74,54%,73%,0.5,82
Shara Magomedov,187.96,185.0,185.42,Orthodox,1994-05-16,15,94%,1,6%,0,0%,0.0,0%,5.87,62%,4.13,42%,0.0,0%,72%,0.0,104
Islam Makhachev,177.8,155.0,177.8,Southpaw,1991-10-27,27,96%,1,4%,0,0%,0.0,0%,2.63,58%,1.55,61%,3.2,53%,90%,1.1,1
Miranda Maverick,160.02,125.0,165.1,Southpaw,1997-07-01,17,77%,5,23%,0,0%,0.0,0%,3.39,45%,2.31,60%,2.39,41%,44%,0.3,180
Marcus McGhee,172.72,135.0,175.26,Orthodox,1990-05-07,10,91%,1,9%,0,0%,0.0,0%,6.06,48%,2.83,64%,0.46,33%,100%,0.5,44
Alonzo Menifield,182.88,205.0,193.04,Orthodox,1987-10-18,15,71%,5,24%,1,5%,0.0,0%,3.77,54%,3.7,49%,0.63,33%,76%,0.2,120
Bryce Mitchell,177.8,145.0,177.8,Southpaw,1994-10-04,17,85%,3,15%,0,0%,0.0,0%,2.31,59%,1.53,60%,3.39,43%,33%,1.4,58
Renato Moicano,180.34,155.0,182.88,Orthodox,1989-05-21,20,74%,6,22%,1,4%,0.0,0%,4.36,48%,3.55,60%,1.82,44%,71%,0.6,70
Michael Morales,182.88,170.0,200.66,Orthodox,1999-06-24,17,100%,0,0%,0,0%,0.0,0%,5.42,48%,3.42,52%,1.16,41%,92%,0.0,87
Brandon Moreno,170.18,125.0,177.8,Orthodox,1993-12-07,22,69%,8,25%,2,6%,0.0,0%,3.99,43%,3.53,60%,1.59,46%,64%,0.4,17
Belal Muhammad,180.34,170.0,182.88,Orthodox,1988-07-09,24,86%,3,11%,0,0%,1.0,4%,4.39,43%,3.48,57%,2.28,39%,89%,0.2,6
Lerone Murphy,175.26,145.0,185.42,Orthodox,1991-07-22,15,94%,0,0%,1,6%,0.0,0%,4.8,54%,2.67,60%,1.78,54%,48%,0.6,56
Azamat Murzakanov,177.8,205.0,180.34,Southpaw,1989-04-12,14,100%,0,0%,0,0%,0.0,0%,4.72,56%,2.9,61%,0.62,15%,83%,0.0,117
Rose Namajunas,165.1,125.0,165.1,Orthodox,1992-06-29,14,67%,7,33%,0,0%,0.0,0%,3.71,42%,3.48,63%,1.46,50%,61%,0.4,143
Geoff Neal,180.34,170.0,190.5,Southpaw,1990-08-28,16,73%,6,27%,0,0%,0.0,0%,5.05,51%,5.44,57%,0.56,50%,87%,0.1,85
Umar Nurmagomedov,172.72,135.0,175.26,Orthodox,1996-01-03,18,95%,1,5%,0,0%,0.0,0%,4.38,57%,2.15,60%,3.26,39%,78%,0.3,33
Sean O'Malley,180.34,135.0,182.88,Switch,1994-10-24,18,86%,2,10%,0,0%,1.0,5%,6.7,61%,3.48,60%,0.29,42%,61%,0.3,13
Volkan Oezdemir,187.96,205.0,190.5,Orthodox,1989-09-19,20,71%,8,29%,0,0%,0.0,0%,4.95,48%,4.22,55%,0.5,29%,80%,0.1,114
Charles Oliveira,177.8,155.0,187.96,Orthodox,1989-10-17,35,76%,10,22%,0,0%,1.0,2%,3.4,55%,3.21,49%,2.25,40%,56%,2.7,15
Brian Ortega,172.72,145.0,175.26,Switch,1991-02-21,16,76%,4,19%,0,0%,1.0,5%,4.08,37%,6.59,49%,1.07,26%,55%,1.1,51
Michael Page,190.5,170.0,200.66,Switch,1987-04-07,23,88%,3,12%,0,0%,0.0,0%,2.53,62%,1.78,55%,0.3,20%,63%,0.0,90
Alexandre Pantoja,165.1,125.0,170.18,Orthodox,1990-04-16,29,85%,5,15%,0,0%,0.0,0%,4.41,50%,3.92,50%,2.74,47%,68%,0.9,9
Mick Parkin,193.04,265.0,200.66,Orthodox,1995-10-02,10,100%,0,0%,0,0%,0.0,0%,4.91,52%,4.15,58%,1.49,41%,50%,0.3,135
Sergei Pavlovich,190.5,257.0,213.36,Southpaw,1992-05-13,19,86%,3,14%,0,0%,0.0,0%,4.54,43%,3.81,54%,0.63,40%,75%,0.0,124
Raquel Pennington,170.18,135.0,170.18,Orthodox,1988-09-05,16,62%,10,38%,0,0%,0.0,0%,4.1,49%,3.32,61%,0.83,27%,62%,0.6,144
Tecia Pennington,154.94,115.0,152.4,Orthodox,1989-08-16,14,67%,7,33%,0,0%,0.0,0%,4.82,47%,3.53,61%,0.57,14%,63%,0.1,165
Michel Pereira,185.42,185.0,185.42,Orthodox,1993-10-06,31,69%,12,27%,0,0%,2.0,4%,4.46,53%,4.23,52%,1.27,52%,76%,0.8,105
Alex Pereira,193.04,205.0,200.66,Orthodox,1987-07-07,12,86%,2,14%,0,0%,0.0,0%,5.46,63%,3.44,55%,0.14,100%,70%,0.3,3
Alex Perez,167.64,125.0,165.1,Orthodox,1992-03-21,25,74%,9,26%,0,0%,0.0,0%,4.19,46%,3.2,58%,2.04,46%,77%,0.8,22
Ailin Perez,165.1,135.0,167.64,Switch,1994-10-05,12,86%,2,14%,0,0%,0.0,0%,3.1,54%,1.79,55%,4.68,46%,66%,0.2,191
Kyler Phillips,172.72,135.0,182.88,Orthodox,1995-06-12,12,80%,3,20%,0,0%,0.0,0%,5.28,44%,3.47,60%,2.63,51%,75%,0.4,42
Paddy Pimblett,177.8,155.0,185.42,Orthodox,1995-01-03,22,88%,3,12%,0,0%,0.0,0%,4.94,53%,3.75,40%,0.91,25%,52%,2.1,72
Luana Pinheiro,157.48000000000002,115.0,157.48,Orthodox,1992-11-18,11,73%,4,27%,0,0%,0.0,0%,3.42,40%,4.03,61%,1.8,33%,69%,0.2,164
Dustin Poirier,175.26,155.0,182.88,Southpaw,1989-01-19,30,75%,9,22%,0,0%,1.0,2%,5.3,50%,4.33,52%,1.24,36%,64%,1.3,64
Carlos Prates,185.42,170.0,198.12,Switch,1993-08-17,21,78%,6,22%,0,0%,0.0,0%,4.39,57%,4.6,48%,0.44,100%,91%,0.0,88
Shavkat Rakhmonov,185.42,170.0,195.58,Orthodox,1994-10-23,19,100%,0,0%,0,0%,0.0,0%,3.25,60%,2.17,51%,1.4,25%,85%,1.2,77
Dominick Reyes,193.04,205.0,195.58,Southpaw,1989-12-26,14,78%,4,22%,0,0%,0.0,0%,5.64,54%,3.59,49%,0.31,28%,82%,0.3,116
Amanda Ribas,160.02,115.0,167.64,Orthodox,1993-08-26,13,68%,6,32%,0,0%,0.0,0%,4.29,39%,3.24,60%,2.06,53%,83%,0.6,158
Tabatha Ricci,154.94,115.0,154.94,Orthodox,1995-02-21,11,79%,3,21%,0,0%,0.0,0%,4.18,36%,5.29,57%,2.74,37%,81%,0.1,160
Gillian Robertson,165.1,115.0,160.02,Orthodox,1995-05-17,15,65%,8,35%,0,0%,0.0,0%,2.89,48%,2.95,56%,2.68,39%,41%,1.0,162
Yair Rodriguez,180.34,145.0,180.34,Orthodox,1992-10-06,16,73%,5,23%,0,0%,1.0,5%,4.65,46%,3.99,52%,0.69,27%,58%,0.7,50
Marina Rodriguez,167.64,115.0,165.1,Orthodox,1987-04-29,17,71%,5,21%,2,8%,0.0,0%,4.64,46%,3.04,55%,0.28,50%,62%,0.2,159
Marcos Rogerio de Lima,185.42,253.0,190.5,Orthodox,1985-06-25,22,67%,10,30%,1,3%,0.0,0%,3.7,57%,2.9,51%,1.4,45%,59%,0.5,132
Karol Rosa,165.1,135.0,170.18,Orthodox,1994-12-30,18,72%,7,28%,0,0%,0.0,0%,6.22,55%,4.84,49%,1.09,46%,70%,0.0,188
Khalil Rountree Jr.,185.42,205.0,193.04,Southpaw,1990-02-26,14,67%,6,29%,0,0%,1.0,5%,3.73,38%,4.51,48%,0.0,0%,58%,0.1,112
Brandon Royval,175.26,125.0,172.72,Southpaw,1992-08-16,17,71%,7,29%,0,0%,0.0,0%,4.46,39%,3.06,47%,0.75,75%,45%,1.2,16
Jairzinho Rozenstruik,187.96,242.0,198.12,Orthodox,1988-03-17,15,71%,6,29%,0,0%,0.0,0%,3.48,48%,2.63,52%,0.0,0%,72%,0.0,129
Cory Sandhagen,180.34,135.0,177.8,Switch,1992-04-20,17,77%,5,23%,0,0%,0.0,0%,5.02,44%,3.46,56%,1.19,32%,63%,0.3,34
Yana Santos,167.64,135.0,172.72,Orthodox,1989-11-11,15,62%,8,33%,0,0%,1.0,4%,4.42,58%,3.12,50%,0.97,53%,42%,0.1,189
Valentina Shevchenko,165.1,125.0,167.64,Southpaw,1988-03-07,24,83%,4,14%,1,3%,0.0,0%,3.16,52%,2.0,64%,2.74,64%,71%,0.3,136
Bruno Silva,162.56,125.0,165.1,Orthodox,1990-03-16,14,61%,6,26%,2,9%,1.0,4%,3.54,49%,4.08,52%,1.92,25%,60%,0.2,28
Natalia Silva,162.56,125.0,165.1,Southpaw,1997-02-03,18,75%,5,21%,1,4%,0.0,0%,5.19,47%,2.35,64%,0.4,25%,91%,0.0,149
Karine Silva,165.1,125.0,170.18,Orthodox,1993-12-02,18,78%,5,22%,0,0%,0.0,0%,3.04,38%,3.14,47%,2.79,50%,0%,1.9,178
Anthony Smith,193.04,205.0,193.04,Orthodox,1988-07-26,38,64%,21,36%,0,0%,0.0,0%,3.2,49%,4.88,45%,0.44,23%,50%,0.6,119
Song Yadong,172.72,135.0,170.18,Orthodox,1997-12-02,21,70%,7,23%,1,3%,1.0,3%,4.49,43%,3.96,55%,0.66,40%,72%,0.2,38
Serghei Spivac,190.5,260.0,198.12,Orthodox,1995-01-24,17,77%,5,23%,0,0%,0.0,0%,3.49,49%,3.77,48%,4.56,65%,63%,0.6,127
Aljamain Sterling,170.18,145.0,180.34,Orthodox,1989-07-31,24,83%,5,17%,0,0%,0.0,0%,4.41,52%,2.21,58%,2.51,29%,42%,0.7,54
Sean Strickland,185.42,185.0,193.04,Orthodox,1991-02-27,29,81%,7,19%,0,0%,0.0,0%,5.95,42%,4.57,60%,0.73,64%,76%,0.2,14
Tatiana Suarez,165.1,115.0,167.64,Southpaw,1990-12-19,11,92%,1,8%,0,0%,0.0,0%,3.22,61%,1.58,47%,4.65,47%,80%,0.7,145
Tatsuro Taira,170.18,125.0,177.8,Orthodox,2000-01-27,16,94%,1,6%,0,0%,0.0,0%,2.99,60%,2.69,46%,2.73,44%,45%,1.6,20
Miesha Tate,167.64,135.0,165.1,Orthodox,1986-08-18,20,69%,9,31%,0,0%,0.0,0%,2.62,45%,2.98,51%,2.02,31%,55%,1.3,190
Stephen Thompson,182.88,170.0,190.5,Orthodox,1983-02-11,17,65%,8,31%,1,4%,0.0,0%,4.11,46%,3.02,55%,0.25,41%,63%,0.0,86
Ilia Topuria,170.18,145.0,175.26,Orthodox,1997-01-21,16,100%,0,0%,0,0%,0.0,0%,4.69,47%,3.84,64%,2.02,61%,92%,1.1,4
Arman Tsarukyan,170.18,155.0,182.88,Orthodox,1996-10-11,22,88%,3,12%,0,0%,0.0,0%,3.79,48%,1.84,53%,3.25,37%,75%,0.0,61
Tai Tuivasa,187.96,264.0,190.5,Southpaw,1993-03-16,15,65%,8,35%,0,0%,0.0,0%,3.77,46%,5.18,44%,0.0,0%,57%,0.0,131
Jalin Turner,190.5,155.0,195.58,Southpaw,1995-05-18,14,64%,8,36%,0,0%,0.0,0%,5.6,48%,4.57,41%,0.79,55%,74%,1.1,73
Marcin Tybura,190.5,249.0,198.12,Orthodox,1985-11-09,26,74%,9,26%,0,0%,0.0,0%,3.57,49%,3.26,55%,1.42,33%,77%,0.1,128
Tagir Ulanbekov,170.18,125.0,177.8,Southpaw,1991-08-07,16,89%,2,11%,0,0%,0.0,0%,3.13,47%,3.2,49%,3.56,47%,63%,1.7,26
Carlos Ulberg,193.04,205.0,195.58,Orthodox,1990-11-07,12,92%,1,8%,0,0%,0.0,0%,7.2,56%,4.27,50%,0.72,75%,83%,0.2,111
Kamaru Usman,182.88,170.0,193.04,Switch,1987-05-11,20,83%,4,17%,0,0%,0.0,0%,4.36,52%,2.74,54%,2.82,45%,89%,0.1,78
Joshua Van,165.1,125.0,165.1,Orthodox,2001-10-10,12,86%,2,14%,0,0%,0.0,0%,8.88,54%,5.82,60%,1.32,63%,80%,0.0,30
Marlon Vera,172.72,135.0,177.8,Switch,1992-12-02,23,68%,10,29%,1,3%,0.0,0%,4.27,49%,5.37,50%,0.51,39%,72%,0.8,36
Marvin Vettori,182.88,185.0,187.96,Southpaw,1993-09-20,19,70%,7,26%,1,4%,0.0,0%,4.56,45%,4.24,56%,1.66,45%,69%,0.5,97
Ketlen Vieira,172.72,135.0,172.72,Orthodox,1991-08-26,14,78%,4,22%,0,0%,0.0,0%,2.92,41%,3.9,51%,1.39,44%,88%,0.6,183
Alexander Volkanovski,167.64,145.0,180.34,Orthodox,1988-09-29,26,87%,4,13%,0,0%,0.0,0%,6.16,56%,3.44,58%,1.78,37%,70%,0.2,11
Alexander Volkov,200.66,250.0,203.2,Orthodox,1988-10-24,38,78%,11,22%,0,0%,0.0,0%,4.97,57%,2.99,54%,0.61,66%,72%,0.2,123
Johnny Walker,198.12,205.0,208.28,Orthodox,1992-03-30,21,68%,9,29%,0,0%,1.0,3%,3.87,53%,3.12,44%,0.45,100%,57%,0.9,115
Robert Whittaker,182.88,185.0,185.42,Orthodox,1990-12-20,27,77%,8,23%,0,0%,0.0,0%,4.54,43%,3.41,59%,0.8,38%,81%,0.0,94
Yan Xiaonan,165.1,115.0,160.02,Orthodox,1989-06-16,19,79%,4,17%,0,0%,1.0,4%,4.99,45%,3.44,60%,0.92,73%,63%,0.0,146
Petr Yan,170.18,135.0,170.18,Switch,1993-02-11,18,78%,5,22%,0,0%,0.0,0%,5.11,54%,4.13,58%,1.61,49%,84%,0.1,32
Aiemann Zahabi,172.72,135.0,172.72,Orthodox,1987-11-19,12,86%,2,14%,0,0%,0.0,0%,4.06,46%,4.06,71%,0.16,14%,83%,0.0,43
Zhang Weili,162.56,115.0,160.02,Switch,1989-08-13,26,90%,3,10%,0,0%,0.0,0%,5.15,53%,2.77,54%,2.24,45%,74%,0.5,137
